Time,Freq_Dev_Area1,Freq_Dev_Area2,Mechanical_Power_Area1,Mechanical_Power_Area2,Rotor_Angle_Area1,Rotor_Angle_Area2,Tie_Line_Power,UPFC_Series_Voltage,UPFC_Shunt_Voltage,SVC_Susceptance,SSSC_Series_Voltage,STATCOM_Current,AGC_Control_Area1,AGC_Control_Area2,UPFC_Series_Control,UPFC_Shunt_Control,SVC_Control,SSSC_Control,STATCOM_Control
20.38,0.26845334434251683,-0.2751793319892434,-13.917315531579149,13.301975723919728,0.017456388388009957,-0.04088947566959007,0.0004414239299795372,-0.7967298356094974,-0.5523815832634369,0.09784798704663242,1.0000000000000002,5.0,-289.58827258817075,287.38664855711613,-0.7785154949597508,-0.5447702098022593,0.09417204289461711,3.0,5.0
20.39,0.2542208247115337,-0.25824173380594334,-19.400079937992373,17.776921614329027,0.034323809476371196,-0.05817950302553315,0.0031074921803781338,-0.7615343141222777,-0.5330379650404329,0.09639729696127305,-0.9999999999999998,5.0,-282.6864689653899,277.39585983664966,-0.7263387926350579,-0.5136943468174289,0.09204522670519494,-3.0,5.0
20.400000000000002,0.2345142606215917,-0.2357261754722749,-24.508954748688677,21.907384935566142,0.05029697498243705,-0.07440530970103401,0.004638878810176106,-0.7100056607019842,-0.502292570518726,0.09489419069023819,1.0000000000000002,5.0,-269.75940397857687,261.47285314766094,-0.6584770072816909,-0.4715471759970191,0.09038487187713362,3.0,5.0
20.41,0.20971305558559555,-0.20807095375689819,-29.13335027927394,25.60365088596852,0.06503194054905374,-0.08921642212348435,0.006991683526185694,-0.6430968447081782,-0.46071250892429777,0.07117064301767864,-0.9999999999999998,5.0,-251.0384460655201,239.91172315215246,-0.5761880287143722,-0.41913244732986954,0.0,-3.0,5.0
20.42,0.18030494317832696,-0.1758235707220533,-33.172145249042515,28.78457690756743,0.07820860044484525,-0.1022899057184462,0.008125509532394107,-0.5621373898251006,-0.4091045117329144,0.05337798226325898,1.0000000000000002,5.0,-226.87883765599054,213.13007692179278,-0.4811779349420231,-0.3574965145415311,0.0,3.0,5.0
20.43,0.14688042846520938,-0.1396348911836162,-36.53589342422113,31.379328332392987,0.0895374941427444,-0.11333722648061277,0.01000427254332608,-0.4687182423821251,-0.3484862300125888,0.040033486697444234,-0.9999999999999998,5.0,-197.7534551444068,181.6564852655479,-0.37529909493914965,-0.28786794829226325,0.0,-3.0,5.0
20.44,0.11011702642567275,-0.10024113617486423,-39.148792274077024,33.328986588527826,0.09876626364319285,-0.12211074544715794,0.010597062793030056,-0.3647496173354701,-0.28007951365987627,0.030025115023083176,1.0000000000000002,5.0,-164.24322734771187,146.12466544154552,-0.2607809922888152,-0.21167279730716365,0.0,3.0,5.0
20.45,0.07076954346766215,-0.058453885332516435,-40.95038353806541,34.58783839235193,0.10568512046827379,-0.12840908178704688,0.011878765161867512,-0.2523331934997398,-0.2052726876492128,0.02251883626731238,-0.9999999999999998,5.0,-127.02601494498266,107.256236639176,-0.13991676966400954,-0.13046586163854934,0.0,-3.0,5.0
20.46,0.02965066552966073,-0.01513847826462511,-41.89693472436916,35.12447314841011,0.110131702025392,-0.13208184772173515,0.011830699655328746,-0.13380867687564163,-0.1256056867568522,0.016889127200484286,1.0000000000000002,5.0,-86.86255198389972,65.85066159052282,-0.015284160251543416,-0.04593868586449154,0.0,3.0,5.0
20.47,-0.012381820426787489,0.028798932333504397,-41.962483283913734,34.92250733195327,0.1119947082854326,-0.13303302636378864,0.012440991812131963,-0.011616351828983379,-0.04272524213493879,0.012666845400363214,-0.9999999999999998,5.0,-44.58134939100452,22.764308508765623,0.11057597321767487,0.0401552024869746,0.0,-3.0,5.0
20.48,-0.05444683924617193,0.07243521893933595,-41.13950587206409,33.98107463775066,0.11121673556361533,-0.13122353607878529,0.011704940357759389,0.11166414577246726,0.041635861600703414,0.009500134050272412,1.0000000000000002,5.0,-1.0612490999675044,-21.102671402867173,0.23494464337391788,0.12599696533634563,0.0,3.0,5.0
20.490000000000002,-0.09565449258719685,0.11484470379066472,-39.43920910759315,32.31491321001215,0.10779573975987616,-0.12667229704516555,0.011625097286420838,0.23345703613441926,0.125708132715254,0.007125100537704309,-0.9999999999999998,5.0,42.78639556655969,-64.82964752353044,0.35524992649637127,0.20978040382980453,0.0,-3.0,5.0
20.5,-0.1351288031980067,0.15512367638302343,-36.89141987917565,29.95420199618486,0.10178559073598023,-0.1194563914905166,0.010211333702295912,0.3511552138438395,0.20770919828917864,0.005343825403278232,1.0000000000000002,5.0,86.03716246153799,-107.49024435897455,0.4688533915532597,0.2897102638631033,0.0,3.0,5.0
20.51,-0.17202233136832623,0.19240467890945148,-33.54408789581883,26.943991242762255,0.09329519762767545,-0.10970968344806166,0.009480612902423137,0.46226478856969566,0.2858947084227221,0.0040078690524586735,-0.9999999999999998,5.0,127.77260322470497,-148.176464387043,0.5733743632955518,0.3640802185562655,0.0,-3.0,5.0
20.52,-0.20553828201195284,0.22588006346525918,-29.462395127346177,23.34339303674947,0.082486715778073,-0.09762054093249695,0.007456750484978944,0.5643689342671725,0.35858215131513504,0.003005901789344005,1.0000000000000002,5.0,167.10010390044755,-186.01342625545354,0.6664730799646492,0.43126959420754807,0.0,3.0,5.0
20.53,-0.23494370326417444,0.25481451062790383,-24.727501387615114,19.224390637503284,0.06957236464206863,-0.08342807797299985,0.006169889436395311,0.6552691629926507,0.4242001672010984,0.002254426342008004,-0.9999999999999998,5.0,203.17152621896793,-220.18266990257757,0.7461693917181289,0.4898181830870617,0.0,-3.0,5.0
20.54,-0.2595894195786146,0.27856604496212206,-19.434936873037408,14.670445803798515,0.054810416398430414,-0.06741761008066582,0.0036559763336761345,0.7329436624857077,0.48130921636016155,0.001690819756506003,1.0000000000000002,5.0,235.20185027598677,-249.9352672147363,0.8106181619787647,0.5384182655192247,0.0,3.0,5.0
20.55,-0.27892034089232276,0.29659528538670493,-13.69268634129305,9.774775452564862,0.038499932128474135,-0.049914789272814494,0.001955972714414827,0.795680914487561,0.5286462448564961,0.058170255739898785,-0.9999999999999998,5.0,262.48580132260815,-274.6127185508266,0.8584181664894142,0.5759832733528307,0.22760856369007715,-3.0,5.0
20.56,-0.29249184693361635,0.308482529972244,-7.618990109469632,4.638488465296281,0.020974850250792494,-0.03127915787960969,-0.0008849065343183131,0.8420283798318986,0.5651392910166828,0.07123578528463784,1.0000000000000002,5.0,284.4137184320315,-293.65691921736266,0.8883758451762364,0.6016323371768696,0.11043237391885496,3.0,5.0
20.57,-0.2999759586590048,0.31393249157447767,-1.3399195465446923,-0.6315356431028807,0.0025970454995613047,-0.011896628881177793,-0.0028181885086233536,0.8709146573907272,0.5899447945798701,0.07343417902226607,-0.9999999999999998,5.0,300.484701098105,-306.62723755909747,0.8998009349495556,0.6147502981430576,0.08002936023515073,-3.0,5.0
20.580000000000002,-0.30117307925011366,0.312786375231942,5.01323643132608,-5.9248264594966304,-0.016250999859972394,0.007828331303892579,-0.005793074905005106,0.8815851325406606,0.6024536980025443,0.07291574581645902,1.0000000000000002,5.0,310.3183601738138,-313.20606476153625,0.8922556076905941,0.6149626014252186,0.07136044619903786,3.0,5.0
20.59,-0.29601311128048247,0.30502121614180405,11.306706770396453,-11.129671838869681,-0.035174262524595865,0.02748127887532557,-0.0077575687993916495,0.8737097867996437,0.6023192736246481,0.071721491135221,-0.9999999999999998,5.0,313.66329179984245,-313.21096721816855,0.865834441058627,0.6021848492467519,0.06813872709150692,-3.0,5.0
20.6,-0.28456183645226224,0.29075628051405816,17.40705179213224,-16.13543133465056,-0.053773314839896294,0.04664632711172789,-0.010659496097043468,0.8473034784559834,0.5894529597950442,0.07036254327237218,1.0000000000000002,5.0,310.4036956315761,-306.59490212745345,0.820897170112323,0.5765866459654402,0.06628569968382575,3.0,5.0
20.61,-0.26701647569487114,0.27024656616004533,23.183982716868396,-20.83492143847226,-0.07165286233770524,0.06491508300868906,-0.01244767635605393,0.8028176835738134,0.5640413511818945,0.06896692224858669,-0.9999999999999998,5.0,300.56236129989475,-293.45273707572784,0.7583318886916435,0.5386297425687449,0.06478005917723023,-3.0,5.0
20.62,-0.24370643212109078,0.24388332737957988,28.513140811433267,-25.126666019657712,-0.08843000230631413,0.08189517554681439,-0.015072942250589413,0.741044341956931,0.5265308514417042,0.06756671092118884,1.0000000000000002,5.0,284.3015579312146,-274.01565125103866,0.6792710003400487,0.48902035170151403,0.06336607693899526,3.0,5.0
20.63,-0.21508325322171004,0.21218178493389248,33.27876396943373,-28.91712015125394,-0.1037425290419981,0.09721881693938884,-0.016489262097911135,0.6631911422839782,0.47763336744230095,0.05067503319089163,-0.9999999999999998,5.0,261.9201700690346,-248.65178067735812,0.5853379426110256,0.4287358834428977,0.0,-3.0,5.0
20.64,-0.18171593338760103,0.17577606865915202,37.376196744059584,-32.122663439086296,-0.11725660840662845,0.11055059167486657,-0.018654665413575192,0.5707692386760226,0.41829979119369987,0.03800627489316872,1.0000000000000002,5.0,233.84873763629227,-217.85480886225275,0.478347335068067,0.35896621494509884,0.0,3.0,5.0
20.650000000000002,-0.14427570923141778,0.13540167295128563,40.71417652112149,-34.67147580856709,-0.12867415723404244,0.1215949277943963,-0.019532227586053975,0.4656530761098656,0.3497148856705776,0.02850470616987654,-0.9999999999999998,5.0,200.64086692940262,-182.23898850938753,0.36053691354370865,0.2811299801474554,0.0,-3.0,5.0
20.66,-0.1035265799153251,0.09188558602402401,43.21685911757026,-36.50509858881047,-0.13773926739830003,0.13010246581494683,-0.021090816242839844,0.3499536483743594,0.2732605516609,0.021378529627407404,1.0000000000000002,5.0,162.96279215893156,-142.5224158559494,0.23425422063885315,0.19680621765122247,0.0,3.0,5.0
20.67,-0.06030580871757974,0.04612447798343034,44.82552600802544,-37.579802398552516,-0.14424403425656526,0.13587580745542416,-0.021305858898834937,0.22606517856760328,0.19050131187308778,0.01603389722055555,-0.9999999999999998,5.0,121.57967204202298,-99.51715779694872,0.10217670876084717,0.1077420720852755,0.0,-3.0,5.0
20.68,-0.015510732203681404,-0.0009287973761152105,45.49994804335403,-37.8675748818859,-0.14803315996928407,0.13877389387909234,-0.02215983878278784,0.09652683282682276,0.1031391938256774,0.012025422915416663,1.0000000000000002,5.0,77.3405116001033,-54.108159750820505,-0.03301151291395778,0.015777075778267043,0.0,3.0,5.0
20.69,0.029923784264218357,-0.04828992087990295,45.21936127623689,-37.356861461237365,-0.14900772801614176,0.1387155358188228,-0.02164278349477125,-0.03594028755120157,0.012992032052784153,0.009019067186562497,-0.9999999999999998,5.0,31.160395043423378,-7.23963040099169,-0.16840740792922593,-0.07715512972010909,0.0,-3.0,5.0
20.7,0.07504084929653865,-0.09495872502482823,43.98304473306577,-36.05288503661125,-0.14712756119990028,0.1356813906052481,-0.02175245908928699,-0.16857904719690206,-0.07805746867374194,0.006764300389921873,1.0000000000000002,5.0,-15.997990197034891,40.10908528225095,-0.3012178068426026,-0.16910696940026804,0.0,3.0,5.0
20.71,0.11888561380925647,-0.13994519332880098,41.810471979657464,-33.97769163384581,-0.1424126055825174,0.129714957946603,-0.020494540456432443,-0.29856465040574065,-0.16808775607291115,0.005073225292441404,-0.9999999999999998,5.0,-63.14477595141864,86.93937952891788,-0.42855025361457916,-0.25811804347208034,0.0,-3.0,5.0
20.72,0.16052147183832297,-0.18228548770418387,38.74104347557558,-31.169762434739923,-0.13494280216330393,0.12092194212126373,-0.01988247720793577,-0.4231535300408381,-0.2551920955049134,0.003804918969331053,1.0000000000000002,5.0,-109.28324094825142,132.25893721924655,-0.5477424096759356,-0.34229643493691564,0.0,3.0,5.0
