time,pi_freq_area1,pi_freq_area2,anfis_freq_area1,anfis_freq_area2,pi_control_area1,pi_control_area2,anfis_control_area1,anfis_control_area2,load_disturbance,wind_power,solar_power,tie_line_pi,tie_line_anfis
0.14,0.005604431931000326,0.0052447858099378,0.00541115284175925,0.005003656978290079,-0.014518085833204884,-0.012498164313681838,-0.2164239374215079,-0.21390388170151806,0.04143624235710004,0.40177433622653036,0.3028207911135445,4.662263104025739e-06,4.90664783494011e-06
0.15,0.005996911477737571,0.005613394118709931,0.005742430613327077,0.0052959159304628274,-0.015571247637780845,-0.013407710759163548,-0.21838558028471877,-0.2157235079446091,-0.024597530610991212,0.4015970955267827,0.30219595574807495,5.381555346150791e-06,5.721639561878452e-06
0.16,0.006389919084831085,0.005982267820922647,0.006101263947483948,0.0056222562452983155,-0.016630445684532605,-0.014321925220282946,-0.22042654734407308,-0.2176827486003552,-0.024687533133654068,0.3992474302112202,0.29804064227344795,6.1485900642060715e-06,6.614668927606952e-06
0.17,0.0067754680117236,0.006339730489676927,0.006452441405295877,0.005936971900641683,-0.017675623617904573,-0.015213826393804234,-0.2223433500072337,-0.21950265926778068,0.016235561445309445,0.3991138661067117,0.3013215604083621,6.9638925920229476e-06,7.572684331978217e-06
0.18,0.007152720210755144,0.006691266598821644,0.006777642063178912,0.0062236943502182104,-0.018704586758012495,-0.01609596337742412,-0.22405038648362063,-0.2211036637228525,0.024457369067210702,0.4003400802931622,0.2981610039639692,7.835367636116295e-06,8.603623341286606e-06
0.19,0.007532789351724952,0.007041019353306844,0.007094578200544334,0.0064948168268215345,-0.019745153082657715,-0.016977845925626456,-0.22565377275000517,-0.2225694272124712,0.051129890830136526,0.40054852940974617,0.2999109769064332,8.758274859983294e-06,9.71151876720801e-06
0.2,0.007888736226992434,0.0073627341159647995,0.007393015400092007,0.006744968145595981,-0.02072968510555033,-0.017798779955015366,-0.22711131338967383,-0.22388174796224147,-0.011985410152777765,0.40000510409996193,0.2978482225311983,9.74181485681951e-06,1.091104151465361e-05
0.21,0.0082647473801653,0.007707824661889409,0.00771712585355451,0.007025545591832747,-0.021768889957044478,-0.018677274281922753,-0.2286390356792052,-0.22530948069045317,-0.011476591818989421,0.39935280194042744,0.29890435516031494,1.079381907887478e-05,1.2207136023645662e-05
0.22,0.008647932547987453,0.008064219867436793,0.008034998153644814,0.007300702044328925,-0.022830628067175708,-0.019585689673223543,-0.230083647538745,-0.2266657595966492,0.0007347107050701494,0.39989085091867316,0.3025495439997555,1.1907664515426561e-05,1.3590296547089189e-05
0.23,0.009031221683124577,0.008424833444865597,0.008342006184987484,0.007566407517820137,-0.023897225565216014,-0.02050777406920331,-0.23143031225525168,-0.22793562266140788,-0.01599581558725737,0.4029211402938935,0.301685616709238,1.307508987652788e-05,1.5058888765720965e-05
0.24,0.009414434429210618,0.008780688446954094,0.008655160657602778,0.007835175954838234,-0.024968230643581644,-0.02142282814692335,-0.23275658789456255,-0.22918162574582285,-0.017891638137498327,0.40233256724785155,0.30275790322055174,1.428786635304584e-05,1.661008610005566e-05
0.25,0.009806704242451997,0.00915015183271701,0.008963468563423494,0.008100217175455858,-0.026066585627594518,-0.022373245604337944,-0.23401731475779577,-0.23037365613062466,0.024091499854629925,0.4007940228235571,0.30200644777153085,1.5555358317558888e-05,1.8250055505584747e-05
0.26,0.01018054250538369,0.009497771932780747,0.009244095384856741,0.008331898736081072,-0.027123347794988355,-0.023277247325745126,-0.23512736540174758,-0.23138671790560575,0.020473974639587295,0.39938428514322033,0.29976121897208385,1.6868463137028862e-05,1.997655828152002e-05
0.27,0.010544048235761744,0.009831647305500082,0.009520049187590368,0.008556957521632902,-0.02815864069976263,-0.0241533088033601,-0.23618524773046448,-0.23234571687877847,-0.012826227438030573,0.4013210875819003,0.2998635525501993,1.823400428223475e-05,2.1800951579071357e-05
0.28,0.01092196172644786,0.010181460051902355,0.009809590102297167,0.00879697630501677,-0.029234487967195293,-0.025069874180656253,-0.23726045627615375,-0.2333419467850588,0.0004392773788434029,0.40143169163595616,0.30095689186174995,1.965880614275807e-05,2.3727134910986288e-05
0.29,0.011300401595310119,0.010533385376239551,0.010087670052898122,0.009024172333864412,-0.030316192458494665,-0.025995169665770437,-0.23826065096746774,-0.23426041959311208,0.013196886377140067,0.4032569460835178,0.3039106993584484,2.113980949184908e-05,2.575236250554708e-05
